id,left,top,right,bottom
"134",-7595585.3184,5524692.5861,-7595565.3184,5524672.5861
"135",-7595585.3184,5524672.5861,-7595565.3184,5524652.5861
"136",-7595585.3184,5524652.5861,-7595565.3184,5524632.5861
"137",-7595585.3184,5524632.5861,-7595565.3184,5524612.5861
"146",-7595565.3184,5524932.5861,-7595545.3184,5524912.5861
"147",-7595565.3184,5524912.5861,-7595545.3184,5524892.5861
"148",-7595565.3184,5524892.5861,-7595545.3184,5524872.5861
"149",-7595565.3184,5524872.5861,-7595545.3184,5524852.5861
"154",-7595565.3184,5524772.5861,-7595545.3184,5524752.5861
"155",-7595565.3184,5524752.5861,-7595545.3184,5524732.5861
"156",-7595565.3184,5524732.5861,-7595545.3184,5524712.5861
"157",-7595565.3184,5524712.5861,-7595545.3184,5524692.5861
"158",-7595565.3184,5524692.5861,-7595545.3184,5524672.5861
"159",-7595565.3184,5524672.5861,-7595545.3184,5524652.5861
"160",-7595565.3184,5524652.5861,-7595545.3184,5524632.5861
"161",-7595565.3184,5524632.5861,-7595545.3184,5524612.5861
"169",-7595545.3184,5524952.5861,-7595525.3184,5524932.5861
"170",-7595545.3184,5524932.5861,-7595525.3184,5524912.5861
"171",-7595545.3184,5524912.5861,-7595525.3184,5524892.5861
"172",-7595545.3184,5524892.5861,-7595525.3184,5524872.5861
"173",-7595545.3184,5524872.5861,-7595525.3184,5524852.5861
"178",-7595545.3184,5524772.5861,-7595525.3184,5524752.5861
"179",-7595545.3184,5524752.5861,-7595525.3184,5524732.5861
"180",-7595545.3184,5524732.5861,-7595525.3184,5524712.5861
"181",-7595545.3184,5524712.5861,-7595525.3184,5524692.5861
"182",-7595545.3184,5524692.5861,-7595525.3184,5524672.5861
"183",-7595545.3184,5524672.5861,-7595525.3184,5524652.5861
"184",-7595545.3184,5524652.5861,-7595525.3184,5524632.5861
"185",-7595545.3184,5524632.5861,-7595525.3184,5524612.5861
"227",-7595505.3184,5524752.5861,-7595485.3184,5524732.5861
"228",-7595505.3184,5524732.5861,-7595485.3184,5524712.5861
"229",-7595505.3184,5524712.5861,-7595485.3184,5524692.5861
"230",-7595505.3184,5524692.5861,-7595485.3184,5524672.5861
"231",-7595505.3184,5524672.5861,-7595485.3184,5524652.5861
"232",-7595505.3184,5524652.5861,-7595485.3184,5524632.5861
"233",-7595505.3184,5524632.5861,-7595485.3184,5524612.5861
"237",-7595505.3184,5524552.5861,-7595485.3184,5524532.5861
"250",-7595485.3184,5524772.5861,-7595465.3184,5524752.5861
"251",-7595485.3184,5524752.5861,-7595465.3184,5524732.5861
"252",-7595485.3184,5524732.5861,-7595465.3184,5524712.5861
"253",-7595485.3184,5524712.5861,-7595465.3184,5524692.5861
"255",-7595485.3184,5524672.5861,-7595465.3184,5524652.5861
"256",-7595485.3184,5524652.5861,-7595465.3184,5524632.5861
"257",-7595485.3184,5524632.5861,-7595465.3184,5524612.5861
"260",-7595485.3184,5524572.5861,-7595465.3184,5524552.5861
"261",-7595485.3184,5524552.5861,-7595465.3184,5524532.5861
"262",-7595485.3184,5524532.5861,-7595465.3184,5524512.5861
"274",-7595465.3184,5524772.5861,-7595445.3184,5524752.5861
"275",-7595465.3184,5524752.5861,-7595445.3184,5524732.5861
"276",-7595465.3184,5524732.5861,-7595445.3184,5524712.5861
"280",-7595465.3184,5524652.5861,-7595445.3184,5524632.5861
"281",-7595465.3184,5524632.5861,-7595445.3184,5524612.5861
"284",-7595465.3184,5524572.5861,-7595445.3184,5524552.5861
"285",-7595465.3184,5524552.5861,-7595445.3184,5524532.5861
"286",-7595465.3184,5524532.5861,-7595445.3184,5524512.5861
"299",-7595445.3184,5524752.5861,-7595425.3184,5524732.5861
"300",-7595445.3184,5524732.5861,-7595425.3184,5524712.5861
"303",-7595445.3184,5524672.5861,-7595425.3184,5524652.5861
"304",-7595445.3184,5524652.5861,-7595425.3184,5524632.5861
"305",-7595445.3184,5524632.5861,-7595425.3184,5524612.5861
"308",-7595445.3184,5524572.5861,-7595425.3184,5524552.5861
